node1,node2,weight
29410,29453,1.5
301115,301143,1.0
29405,29454,1.75
301112,301144,1.1666666666666667
29414,29455,1.5
29427,301145,1.0
29413,29456,1.5333333333333334
29428,301146,1.0166666666666666
29408,29457,1.75
29424,301147,1.1666666666666667
29417,29458,1.4833333333333334
29430,301148,1.0166666666666666
29411,29459,1.75
29426,301149,1.1666666666666667
28655,29460,34.0
300334,301150,35.0
301119,29461,1.1666666666666667
301102,301151,1.75
29450,29462,0.45
301126,301152,0.95
28503,29463,45.9
20330,301153,882.15
29433,29464,1.0
301109,301154,1.5
301122,29465,1.1666666666666667
301106,301155,1.75
301127,29466,1.0
301099,301156,2.0
29434,29467,1.1666666666666667
301108,301157,1.75
301129,29468,1.0
301100,301158,2.0
29441,29469,1.0
301117,301159,1.5
301133,29470,1.0333333333333334
29443,301160,1.0333333333333334
29438,29471,1.1666666666666667
29454,301161,0.5833333333333334
21574,29472,819.0
28519,301162,45.666666666666664
29442,29473,1.0666666666666667
301148,301163,0.48333333333333334
29431,29474,1.5
301136,301164,1.0
301114,29475,1.75
301130,301165,1.1666666666666667
301116,29476,1.75
301134,301166,1.1666666666666667
301137,29477,1.0
301123,301167,1.5
29436,29478,1.4666666666666666
301140,301168,0.9666666666666667
29423,29479,2.0
29437,301169,1.5
29445,29480,1.1666666666666667
29461,301170,0.5833333333333334
301139,29481,1.0833333333333333
29463,301171,0.6333333333333333
29448,29482,1.1666666666666667
29465,301172,0.5833333333333334
29425,29483,2.0
29439,301173,1.5
301145,29484,1.0
301131,301174,1.5
301142,29485,1.1666666666666667
301124,301175,1.75
29456,29486,0.9666666666666667
301146,301176,0.9666666666666667
22058,29487,797.3333333333334
300724,301177,21.166666666666668
29458,29488,0.9833333333333333
301132,301178,1.5666666666666667
301128,29489,1.75
301144,301179,1.1666666666666667
301150,29490,1.0
301121,301180,2.0
29447,29491,1.5
301154,301181,1.0
28553,29492,45.0
27796,301182,76.96666666666667
301068,29493,4.083333333333333
29440,301183,1.75
29451,29494,1.5
29466,301184,1.0
301072,29495,4.083333333333333
29444,301185,1.75
301153,29496,1.1333333333333333
29449,301186,1.5833333333333333
29453,29497,1.5
29468,301187,1.0
29429,29498,2.3333333333333335
301135,301188,1.75
29455,29499,1.5
301159,301189,1.0
29432,29500,2.3333333333333335
301138,301190,1.75
300740,29501,21.033333333333335
29050,301191,21.033333333333335
28329,29502,52.833333333333336
28597,301192,42.0
29467,29503,1.1666666666666667
29485,301193,0.5833333333333334
297320,29504,260.18333333333334
300629,301194,25.0
29446,29505,2.0
29460,301195,1.5
29464,29506,1.5
29477,301196,1.0
301161,29507,1.1666666666666667
29489,301197,0.5833333333333334
29055,29508,21.0
29367,301198,5.016666666666667
301169,29509,1.0
301141,301199,2.0
301165,29510,1.1666666666666667
301147,301200,1.75
301186,29511,0.45
301171,301201,0.95
301173,29512,1.0
301143,301202,2.0
301166,29513,1.1666666666666667
301101,301203,3.5
29480,29514,1.1666666666666667
29498,301204,0.5833333333333334
23777,29515,705.55
299721,301205,69.5
29469,29516,1.5
29484,301206,1.0
299729,29517,68.98333333333333
28039,301207,68.98333333333333
29482,29518,1.1666666666666667
29500,301208,0.5833333333333334
29472,29519,1.5
301177,301209,1.0
29452,29520,2.3333333333333335
301157,301210,1.75
29474,29521,1.5
29490,301211,1.0
301181,29522,1.0
301167,301212,1.5
29481,29523,1.4
29496,301213,0.9
301182,29524,1.0333333333333334
29508,301214,0.5166666666666667
29471,29525,1.75
301179,301215,1.1666666666666667
29479,29526,1.5
301156,301216,2.0
29475,29527,1.75
29457,301217,2.3333333333333335
29483,29528,1.5
301158,301218,2.0
301149,29529,2.3333333333333335
29476,301219,1.75
301191,29530,0.9166666666666666
29515,301220,0.5
