id,player,sets_diff,win,points_win,points_lose,points_diff,points_total,match_time,idx
Valeriy Vlasenko_166913,Valeriy Vlasenko,-2,0,26,43,-17,69,2021-07-18 09:20:00,500000
Pavlo Babenko_166928,Pavlo Babenko,2,1,41,26,15,67,2021-07-18 09:25:00,500001
Grigoriy Oliynik_321922890,Grigoriy Oliynik,2,1,40,34,6,74,2021-07-18 09:25:00,500002
Mykola Lytvynenko_867510314,Mykola Lytvynenko,1,1,49,41,8,90,2021-07-18 09:30:00,500003
Kostiantyn Klymenko_166865,Kostiantyn Klymenko,1,1,49,48,1,97,2021-07-18 09:30:00,500004
Tomas Vorisek_167045,Tomas Vorisek,1,1,44,51,-7,95,2021-07-18 09:30:00,500005
K Brozik_27716,K Brozik,-1,0,51,46,5,97,2021-07-18 09:31:00,500006
S Ovechkin_123801,S Ovechkin,-1,0,49,48,1,97,2021-07-18 09:31:00,500007
Viacheslav Isakov_166880,Viacheslav Isakov,-2,0,42,50,-8,92,2021-07-18 09:35:00,500008
Yevhen Pysmennyi_367476385,Yevhen Pysmennyi,1,1,52,48,4,100,2021-07-18 09:35:00,500009
Kateryna Somova_166895,Kateryna Somova,-2,0,33,38,-5,71,2021-07-18 09:40:00,500010
Borys Buriak_1490097,Borys Buriak,3,1,36,23,13,59,2021-07-18 09:40:00,500011
Fedir Balbas_166905,Fedir Balbas,-1,0,50,51,-1,101,2021-07-18 09:45:00,500012
Oleksiy Sapronov_908899915,Oleksiy Sapronov,-3,0,19,33,-14,52,2021-07-18 09:45:00,500013
S Lanovenko_123765,S Lanovenko,-2,0,36,43,-7,79,2021-07-18 09:47:00,500014
Andrii Dombrovskyi_166914,Andrii Dombrovskyi,-2,0,32,43,-11,75,2021-07-18 09:50:00,500015
Mykola Belia_166851,Mykola Belia,-3,0,21,33,-12,54,2021-07-18 09:50:00,500016
Olena Telezhynska_1858970424,Olena Telezhynska,-3,0,21,33,-12,54,2021-07-18 09:50:00,500017
Andrii Khvysiuk_2043445477,Andrii Khvysiuk,-1,0,44,50,-6,94,2021-07-18 09:55:00,500018
D Andreev_123839,D Andreev,-2,0,34,37,-3,71,2021-07-18 09:55:00,500019
Oleksandr Mishchenko_166929,Oleksandr Mishchenko,-1,0,50,48,2,98,2021-07-18 09:55:00,500020
Ruslan Andrischak_1507297231,Ruslan Andrischak,2,1,43,30,13,73,2021-07-18 10:00:00,500021
Anatolii Kovalenko_166866,Anatolii Kovalenko,-1,0,45,44,1,89,2021-07-18 10:00:00,500022
Tomas Vorisek_167046,Tomas Vorisek,1,1,58,56,2,114,2021-07-18 10:00:00,500023
F Pusch_27717,F Pusch,-1,0,43,54,-11,97,2021-07-18 10:02:00,500024
O Belugin_123802,O Belugin,-2,0,41,46,-5,87,2021-07-18 10:03:00,500025
Roman Makarenko_166881,Roman Makarenko,1,1,43,37,6,80,2021-07-18 10:05:00,500026
Oleksandr Zhukovskyi_1477503055,Oleksandr Zhukovskyi,1,1,48,47,1,95,2021-07-18 10:05:00,500027
Olha Kurpa_166896,Olha Kurpa,2,1,38,31,7,69,2021-07-18 10:10:00,500028
Serhii Baranovskyi_73611351,Serhii Baranovskyi,-3,0,27,38,-11,65,2021-07-18 10:10:00,500029
Leonid Ivanov_166906,Leonid Ivanov,3,1,34,28,6,62,2021-07-18 10:15:00,500030
Illia Yanishevskiy_2026338485,Illia Yanishevskiy,-2,0,29,41,-12,70,2021-07-18 10:15:00,500031
S Homutov_123840,S Homutov,-3,0,14,33,-19,47,2021-07-18 10:17:00,500032
V Staroverov_123766,V Staroverov,-2,0,37,41,-4,78,2021-07-18 10:17:00,500033
Adam Krasutskyi_2138921789,Adam Krasutskyi,-1,0,50,47,3,97,2021-07-18 10:20:00,500034
Valeriy Vlasenko_166915,Valeriy Vlasenko,2,1,38,37,1,75,2021-07-18 10:20:00,500035
Serhii Hot_166852,Serhii Hot,-2,0,27,43,-16,70,2021-07-18 10:20:00,500036
Anna Miklukha_1593134449,Anna Miklukha,2,1,41,22,19,63,2021-07-18 10:25:00,500037
Yevhen Kyi_166930,Yevhen Kyi,1,1,46,49,-3,95,2021-07-18 10:25:00,500038
Lukas Hobl_167047,Lukas Hobl,3,1,33,22,11,55,2021-07-18 10:30:00,500039
Volodymyr Melnykov_166867,Volodymyr Melnykov,-2,0,46,47,-1,93,2021-07-18 10:30:00,500040
Pavlo Chyzh_480767681,Pavlo Chyzh,-1,0,51,55,-4,106,2021-07-18 10:30:00,500041
M Huk_27718,M Huk,-1,0,49,54,-5,103,2021-07-18 10:32:00,500042
Oleksandr Lykhytskyi_166882,Oleksandr Lykhytskyi,2,1,43,31,12,74,2021-07-18 10:35:00,500043
O Belugin_123887,O Belugin,-2,0,36,43,-7,79,2021-07-18 10:35:00,500044
Roman Demchuk_1553104888,Roman Demchuk,2,1,47,35,12,82,2021-07-18 10:35:00,500045
Mykola Lytvynenko_2105654340,Mykola Lytvynenko,-1,0,50,50,0,100,2021-07-18 10:40:00,500046
Liliya Andrieieva_166897,Liliya Andrieieva,-2,0,33,37,-4,70,2021-07-18 10:40:00,500047
Oleksandr Levadnyi_1220398091,Oleksandr Levadnyi,-1,0,37,48,-11,85,2021-07-18 10:45:00,500048
Oleksandr Budnikov_166907,Oleksandr Budnikov,-2,0,34,44,-10,78,2021-07-18 10:45:00,500049
V Bazilevskiy_123889,V Bazilevskiy,3,1,38,32,6,70,2021-07-18 10:46:00,500050
S Lanovenko_123891,S Lanovenko,-2,0,37,43,-6,80,2021-07-18 10:46:00,500051
Artem Yurkov_166916,Artem Yurkov,1,1,51,45,6,96,2021-07-18 10:50:00,500052
Alexey Lukianov_109050367,Alexey Lukianov,1,1,56,45,11,101,2021-07-18 10:50:00,500053
Yaroslav Tebenko_166853,Yaroslav Tebenko,-1,0,44,53,-9,97,2021-07-18 10:50:00,500054
Pavlo Babenko_166931,Pavlo Babenko,3,1,33,21,12,54,2021-07-18 10:55:00,500055
Andrii Kaptanovskyi_268062593,Andrii Kaptanovskyi,1,1,51,41,10,92,2021-07-18 10:55:00,500056
Viktor Dushak_166868,Viktor Dushak,-1,0,42,45,-3,87,2021-07-18 11:00:00,500057
Roland Balog_167048,Roland Balog,1,1,50,46,4,96,2021-07-18 11:00:00,500058
Viktoria Kurtenko_251736026,Viktoria Kurtenko,-3,0,24,33,-9,57,2021-07-18 11:00:00,500059
F Pusch_27719,F Pusch,2,1,41,34,7,75,2021-07-18 11:01:00,500060
G Karpovkin_123888,G Karpovkin,1,1,51,49,2,100,2021-07-18 11:02:00,500061
Yurii Kolesnyk_166883,Yurii Kolesnyk,1,1,45,37,8,82,2021-07-18 11:05:00,500062
Dmytro Lohosha_2084185011,Dmytro Lohosha,1,1,48,35,13,83,2021-07-18 11:05:00,500063
Olha Kurpa_166898,Olha Kurpa,2,1,35,28,7,63,2021-07-18 11:10:00,500064
Grigoriy Oliynik_1904054316,Grigoriy Oliynik,-1,0,46,46,0,92,2021-07-18 11:10:00,500065
Leonid Ivanov_166908,Leonid Ivanov,-2,0,34,43,-9,77,2021-07-18 11:15:00,500066
Oleksandr Shkurupii_1737056006,Oleksandr Shkurupii,-1,0,43,49,-6,92,2021-07-18 11:15:00,500067
S Homutov_123890,S Homutov,-1,0,53,55,-2,108,2021-07-18 11:16:00,500068
R Agababyan_123892,R Agababyan,-3,0,22,34,-12,56,2021-07-18 11:18:00,500069
Lev Kats_915956390,Lev Kats,2,1,38,26,12,64,2021-07-18 11:20:00,500070
Oleksandr Zhyrnov_166917,Oleksandr Zhyrnov,-1,0,35,44,-9,79,2021-07-18 11:20:00,500071
Oleh Hudyma_166854,Oleh Hudyma,2,1,43,30,13,73,2021-07-18 11:20:00,500072
Bohdan Zaika_1658207749,Bohdan Zaika,-1,0,41,45,-4,86,2021-07-18 11:25:00,500073
Oleksandr Mishchenko_166932,Oleksandr Mishchenko,-1,0,48,51,-3,99,2021-07-18 11:25:00,500074
K Brozik_27720,K Brozik,1,1,50,44,6,94,2021-07-18 11:30:00,500075
Kostiantyn Klymenko_166869,Kostiantyn Klymenko,-2,0,35,40,-5,75,2021-07-18 11:30:00,500076
Oleksiy Sapronov_1397769591,Oleksiy Sapronov,3,1,33,20,13,53,2021-07-18 11:30:00,500077
Lukas Hobl_167049,Lukas Hobl,3,1,33,14,19,47,2021-07-18 11:30:00,500078
Olena Telezhynska_1112142918,Olena Telezhynska,-3,0,24,36,-12,60,2021-07-18 11:35:00,500079
Viacheslav Isakov_166884,Viacheslav Isakov,-1,0,43,50,-7,93,2021-07-18 11:35:00,500080
A Agapov_123803,A Agapov,1,1,44,41,3,85,2021-07-18 11:36:00,500081
Andrii Khvysiuk_320651158,Andrii Khvysiuk,2,1,41,36,5,77,2021-07-18 11:40:00,500082
Kateryna Somova_166899,Kateryna Somova,3,1,33,12,21,45,2021-07-18 11:40:00,500083
Ruslan Andrischak_1290579100,Ruslan Andrischak,-1,0,48,47,1,95,2021-07-18 11:45:00,500084
Fedir Balbas_166909,Fedir Balbas,2,1,46,35,11,81,2021-07-18 11:45:00,500085
P Medvedev_123767,P Medvedev,-2,0,37,45,-8,82,2021-07-18 11:45:00,500086
Valentyn Korovychenko_835534646,Valentyn Korovychenko,1,1,48,41,7,89,2021-07-18 11:50:00,500087
Andrii Dombrovskyi_166918,Andrii Dombrovskyi,2,1,40,27,13,67,2021-07-18 11:50:00,500088
Mykola Belia_166855,Mykola Belia,2,1,41,30,11,71,2021-07-18 11:50:00,500089
I Matveyev_123841,I Matveyev,1,1,47,47,0,94,2021-07-18 11:51:00,500090
Pavlo Babenko_166933,Pavlo Babenko,1,1,55,52,3,107,2021-07-18 11:55:00,500091
Yevhen Pysmennyi_1632932246,Yevhen Pysmennyi,2,1,44,27,17,71,2021-07-18 11:55:00,500092
Borys Buriak_30894890,Borys Buriak,-3,0,22,34,-12,56,2021-07-18 12:00:00,500093
Anatolii Kovalenko_166870,Anatolii Kovalenko,-1,0,37,39,-2,76,2021-07-18 12:00:00,500094
Adam Krasutskyi_586502810,Adam Krasutskyi,-1,0,34,46,-12,80,2021-07-18 12:05:00,500095
Roman Makarenko_166885,Roman Makarenko,-1,0,48,49,-1,97,2021-07-18 12:05:00,500096
R Rose_27745,R Rose,1,1,54,44,10,98,2021-07-18 12:06:00,500097
S Bilyuga_123804,S Bilyuga,3,1,33,18,15,51,2021-07-18 12:07:00,500098
Anna Miklukha_1336168805,Anna Miklukha,3,1,34,21,13,55,2021-07-18 12:10:00,500099
Liliya Andrieieva_166900,Liliya Andrieieva,2,1,41,26,15,67,2021-07-18 12:10:00,500100
Oleksandr Budnikov_166910,Oleksandr Budnikov,-1,0,48,53,-5,101,2021-07-18 12:15:00,500101
Daniel Barta_167083,Daniel Barta,1,1,51,33,18,84,2021-07-18 12:15:00,500102
I Minchenkov_123768,I Minchenkov,2,1,44,32,12,76,2021-07-18 12:15:00,500103
Pavlo Chyzh_1555067008,Pavlo Chyzh,1,1,47,43,4,90,2021-07-18 12:15:00,500104
Serhii Hot_166856,Serhii Hot,2,1,38,30,8,68,2021-07-18 12:20:00,500105
Roman Demchuk_197818747,Roman Demchuk,-2,0,35,45,-10,80,2021-07-18 12:20:00,500106
Valeriy Vlasenko_166919,Valeriy Vlasenko,1,1,56,52,4,108,2021-07-18 12:20:00,500107
Yevhen Kyi_166934,Yevhen Kyi,-1,0,43,52,-9,95,2021-07-18 12:25:00,500108
Oleksandr Zhukovskyi_1217892288,Oleksandr Zhukovskyi,-1,0,53,54,-1,107,2021-07-18 12:25:00,500109
R Homenko_123842,R Homenko,3,1,33,18,15,51,2021-07-18 12:28:00,500110
Serhii Baranovskyi_1356689444,Serhii Baranovskyi,3,1,35,23,12,58,2021-07-18 12:30:00,500111
Volodymyr Melnykov_166871,Volodymyr Melnykov,-1,0,44,47,-3,91,2021-07-18 12:30:00,500112
M Davydov_123805,M Davydov,-3,0,20,33,-13,53,2021-07-18 12:31:00,500113
K Brozik_27746,K Brozik,-1,0,42,45,-3,87,2021-07-18 12:35:00,500114
Illia Yanishevskiy_1273075245,Illia Yanishevskiy,-2,0,27,39,-12,66,2021-07-18 12:35:00,500115
Oleksandr Lykhytskyi_166886,Oleksandr Lykhytskyi,-3,0,21,35,-14,56,2021-07-18 12:35:00,500116
Svitlana Babushkina_166901,Svitlana Babushkina,3,1,36,22,14,58,2021-07-18 12:40:00,500117
Andrii Kaptanovskyi_591116633,Andrii Kaptanovskyi,2,1,42,41,1,83,2021-07-18 12:40:00,500118
T Turabekov_123769,T Turabekov,-2,0,40,44,-4,84,2021-07-18 12:45:00,500119
Oleksandr Lysenko_166911,Oleksandr Lysenko,1,1,57,53,4,110,2021-07-18 12:45:00,500120
Viktoria Kurtenko_1915943854,Viktoria Kurtenko,2,1,41,26,15,67,2021-07-18 12:45:00,500121
Tomas Vorisek_167084,Tomas Vorisek,-1,0,48,47,1,95,2021-07-18 12:45:00,500122
I Nirkov_123843,I Nirkov,-3,0,18,33,-15,51,2021-07-18 12:46:00,500123
Dmytro Lohosha_1238027628,Dmytro Lohosha,-1,0,43,48,-5,91,2021-07-18 12:50:00,500124
Artem Yurkov_166920,Artem Yurkov,-1,0,44,51,-7,95,2021-07-18 12:50:00,500125
Yaroslav Tebenko_166857,Yaroslav Tebenko,3,1,33,20,13,53,2021-07-18 12:50:00,500126
Oleksandr Mishchenko_166935,Oleksandr Mishchenko,1,1,48,39,9,87,2021-07-18 12:55:00,500127
Grigoriy Oliynik_1663102521,Grigoriy Oliynik,-2,0,35,36,-1,71,2021-07-18 12:55:00,500128
Viktor Dushak_166872,Viktor Dushak,1,1,49,47,2,96,2021-07-18 13:00:00,500129
